source,type,target,confidence,evidence
climate-smart agriculture,addresses,food systems transformation,inferred,"promotes sustainable agriculture by enhancing productivity, building resilience to climate change"
Alliance of Bioversity International and CIAT,collaborates_with,Ethiopia,extracted,collaborative effort involving 16 Ethiopian universities and the Alliance
biochar application,targets,smallholder farmers,extracted,focus on its relevance for smallholder agriculture in the Global South
cassava,located_in,Tanzania,extracted,"cassava, a crop vital to food security and rural livelihoods in Tanzania"
Seed Requirement Estimation tool,produces,seed demand projection,extracted,developed the Seed Requirement Estimation tool to project national crop seed demand
silvopastoral systems,located_in,Lao PDR,extracted,choice experiment examining farmer preferences for adopting silvopastoral practices in two districts in Northern Lao PDR
digital cash transfers,located_in,Sudan,extracted,evaluates the impact of digital transfers on the well-being of households grappling with active conflict in Sudan
livestock mobility,located_in,Kenya,extracted,study of the status of livestock mobility in Ethiopia and Kenya
potato,located_in,Kenya,extracted,Potato farmers in Kenya grapple with various challenges along the value chain
agricultural mechanization,located_in,Bangladesh,extracted,analyzed data from 373 livestock producers in Bangladesh
agroecology,uses,conditional subsidies,extracted,"assess the extent to which the Zimbabwean government's large-scale conditional ISP, Pfumvudza, can sustain agroecology adoption"
rangeland restoration,located_in,Tunisia,extracted,reviewing the ongoing work of ICARDA and its partners in terms of rangeland restoration in South Tunisia
participatory extension,addresses,climate-smart agriculture,extracted,research findings on participatory extension and group-based approaches that encourage climate-smart agriculture practices
digital tracking system,targets,development agents,extracted,user testing and training program was conducted with development agents and experts
IFPRI,collaborates_with,Ethiopia,extracted,IFPRI-Ethiopia convened a half-day seminar
pastoralists,uses,livestock mobility,inferred,mapping of major livestock routes has been undertaken
Zambia,uses,forage evaluation protocol,extracted,Zambia's Seed Control and Certification Institute adopted this protocol
payment for environmental services,located_in,China,extracted,community-driven payment for environmental services model developed in China
precision agriculture,uses,direct seeded rice,inferred,Online Dashboard for Precision Direct Seeded Rice
Ceratobasisium theobromae,targets,cassava,extracted,Status of cassava witches' broom disease and Ceratobasisium theobromae
torradovirus,targets,cassava,extracted,Single infections by a torradovirus explain cassava frogskin disease
disease diagnosis,addresses,cassava frogskin disease,extracted,Manual for the early detection and control of the Cassava Frogskin Disease
cryopreservation,targets,plant genetic resources,extracted,Community of Practice for the Cryopreservation of Plant Genetic Resources
CIP,collaborates_with,EMBRAPA,extracted,bilateral collaboration agreements were signed with EMBRAPA
CIP,collaborates_with,AGROSAVIA,extracted,bilateral collaboration agreements were signed with AGROSAVIA
digital sequence information,uses,plant breeding,extracted,"powerful tool for improving how crop genetic resources are accessed and used, particularly in plant breeding programs"
ICRISAT,collaborates_with,AfricaRice,extracted,"ICRISAT, in collaboration with AfricaRice and Alliance"
value chain analysis,targets,agricultural transformation,extracted,support inclusive and market-led transformation of agricultural value chains
integrated pest management,targets,Orobanche,extracted,Integrated Management Package Reduces Orobanche and Gall Disease
integrated pest management,targets,faba bean,extracted,manage parasitic weeds and associated diseases in faba bean production
Aphelenchoides besseyi,targets,rice,extracted,detection of nematode (A. besseyi) in rice seeds
seed health testing,uses,Baermann Funnel Method,extracted,Nematode Test: Modified Baermann Funnel Method
IRRI,produces,seed health testing,extracted,IRRI–Seed Health and Logistics Unit (SHU) seed health testing services
metatranscriptomics,uses,Oxford Nanopore Technology,extracted,Nanopore metatranscriptomic workflow was piloted
web-gis platform,located_in,MENA region,extracted,"Web-GIS dashboard designed to map, analyze, and visualize natural resources across the Middle East and North Africa (MENA) region"
web-gis platform,located_in,Uzbekistan,extracted,with additional coverage of Uzbekistan
climate-smart agriculture,part_of,sustainable land management,extracted,integrated climate-smart agriculture (CSA) and sustainable land management (SLM) practices
participatory research,targets,women farmers,extracted,"Discuss with the women farmers their trial participation, ownership, decision-making"
gender transformative research,addresses,gender inequalities,extracted,"addresses inequalities, shifts norms and attitudes"
capacity building,targets,genebank managers,extracted,ICARDA convened genebank managers and partners from across the region
technology transfer,located_in,Tunisia,extracted,participatory diagnosis of technology transfer mechanisms in Tunisia
traceability systems,addresses,EU Deforestation Regulation,extracted,advance practical and scalable solutions for data management and compliance with the EU Deforestation Regulation
Desmodium spp.,produces,oviposition repellency,extracted,screened for their repellent activity on oviposition by females of Fall Armyworm
push-pull system,uses,Desmodium spp.,extracted,investigating the feasibility of a push pull system for maize using West African indigenous Desmodium species
Telenomus remus,targets,Fall Armyworm,extracted,"attraction potential on one of its major natural enemy, the egg parasitoid Telenomus remus"
Banana Bunchy Top Virus,uses,Pentalonia nigronervosa,extracted,transmitted by the banana aphid (Pentalonia nigronervosa)
COSTECH,located_in,Tanzania,extracted,Tanzania Commission of Science and Technology (COSTECH)
disease eradication,addresses,Banana Bunchy Top Virus,extracted,"eradication of infected plants, and the use of clean planting materials"
Fusarium verticillioides,produces,ginger blight,extracted,F. verticillioides remained the most frequently associated pathogen with ginger leaf spot
pathogen identification,uses,laboratory analysis,extracted,Laboratory analyses involved bacterial and fungal isolation using Nutrient Agar and Potato Dextrose Agar
